Date,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,IYR,VOX,SPY
2000-12-01,759800.0,4854400.0,5854144.0,1072100.0,7802600.0,720000.0,427400.0,158500.0,327800.0,11600.0,,37031000.0
2000-12-08,1486600.0,2298400.0,9114078.0,105800.0,13004200.0,302700.0,305800.0,101100.0,470800.0,24000.0,,45573400.0
2000-12-15,423000.0,2134400.0,2769627.0,48200.0,9596000.0,183800.0,257800.0,41000.0,413800.0,77600.0,,34242700.0
2000-12-22,1167800.0,2083800.0,10072657.0,75000.0,23518600.0,229600.0,271600.0,172800.0,651600.0,75600.0,,51360700.0
2000-12-29,506200.0,3022400.0,3604861.0,70600.0,14580600.0,178800.0,112200.0,75400.0,393800.0,192600.0,,26652700.0
2001-01-05,1286400.0,3457400.0,15103016.0,408000.0,12942000.0,816800.0,337800.0,274400.0,3105400.0,339200.0,,50299500.0
2001-01-12,1161600.0,1419800.0,2490560.0,466000.0,8369200.0,251000.0,1025000.0,106800.0,741000.0,31600.0,,35562900.0
2001-01-19,440200.0,1646000.0,2558264.0,59100.0,6873600.0,598200.0,200600.0,127800.0,842000.0,340600.0,,32283100.0
2001-01-26,323800.0,866800.0,7420098.0,241800.0,5580200.0,251300.0,242600.0,277700.0,13533400.0,26600.0,,39669000.0
2001-02-02,981000.0,1839200.0,1576419.0,125900.0,9308400.0,365100.0,188000.0,430500.0,2758800.0,24000.0,,39997600.0
2001-02-09,720400.0,1321200.0,4398240.0,61100.0,6847400.0,1893200.0,595800.0,576200.0,3975000.0,375600.0,,33064600.0
2001-02-16,1389000.0,4009800.0,4886085.0,523600.0,7798400.0,349700.0,204800.0,63400.0,7136200.0,426400.0,,33156800.0
2001-02-23,465200.0,2042200.0,2323144.0,107100.0,7155600.0,296800.0,125800.0,125700.0,673800.0,72800.0,,58125400.0
2001-03-02,495400.0,1295000.0,3244424.0,264400.0,9592400.0,374000.0,141600.0,47700.0,1271400.0,57800.0,,64980800.0
2001-03-09,1258200.0,4659000.0,2929534.0,93300.0,7205200.0,240800.0,308600.0,60300.0,1052600.0,92800.0,,34657200.0
2001-03-16,1106200.0,3950800.0,6499681.0,253900.0,7671400.0,473400.0,1006800.0,155700.0,1594200.0,97200.0,,115629200.0
2001-03-23,667200.0,3574000.0,6520238.0,128300.0,14117800.0,642400.0,941200.0,134200.0,1627800.0,152200.0,,85642800.0
2001-03-30,526200.0,1021600.0,1902757.0,70900.0,8521400.0,140800.0,377000.0,47100.0,1096200.0,313800.0,,55021700.0
2001-04-06,237200.0,3563200.0,15239164.0,108400.0,11182400.0,183500.0,955400.0,57800.0,1094000.0,86400.0,,74741900.0
2001-04-13,2107200.0,1225000.0,8312697.0,115300.0,8597400.0,100800.0,311200.0,33900.0,1131400.0,23800.0,,48863400.0
2001-04-20,516200.0,934400.0,8672518.0,46700.0,15087600.0,149800.0,1410200.0,43600.0,679200.0,199400.0,,72192900.0
2001-04-27,645800.0,3403200.0,3133018.0,80300.0,7650000.0,279400.0,1272200.0,8079400.0,677000.0,115400.0,,45274600.0
2001-05-04,780800.0,3218200.0,2196719.0,122500.0,7348800.0,800100.0,814000.0,82900.0,750000.0,82000.0,,52989300.0
2001-05-11,771200.0,4236600.0,1343391.0,71200.0,9017400.0,145600.0,166200.0,54300.0,832800.0,114200.0,,38252000.0
2001-05-18,861600.0,2445800.0,1564723.0,85500.0,5596200.0,570400.0,266200.0,138500.0,1373200.0,155200.0,,51112900.0
2001-05-25,2373000.0,6468400.0,2391464.0,196600.0,9966200.0,273300.0,153200.0,113800.0,1810600.0,329800.0,,47532800.0
2001-06-01,1000600.0,4796800.0,1774979.0,104700.0,5411200.0,170400.0,308600.0,44000.0,1242000.0,580000.0,,37768200.0
2001-06-08,280800.0,2205800.0,3112091.0,170600.0,2251200.0,173400.0,644400.0,121600.0,104200.0,333200.0,,42329700.0
2001-06-15,406200.0,1579800.0,5780900.0,119300.0,4584800.0,1168900.0,408800.0,89000.0,286600.0,135400.0,,53430100.0
2001-06-22,1148600.0,3299800.0,4116587.0,172300.0,3545200.0,524500.0,386000.0,37800.0,393400.0,123800.0,,52358900.0
2001-06-29,458600.0,4672200.0,2935319.0,306300.0,4753800.0,342800.0,127600.0,102300.0,640600.0,166600.0,,46611200.0
