date,long_precision,short_precision,long_hit_rate,short_hit_rate,long_mean_ret,short_mean_ret,spread,n_etfs
2020-01-03,0.0,0.3333333333333333,0.0,0.6666666666666666,-0.0103384710505644,-0.004529616963390667,-0.005808854087173733,11
2020-01-10,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,2.519526618366668e-05,-0.008117803213905933,0.008142998480089599,11
2020-01-17,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,8.829397693216594e-05,0.013520663717803133,-0.013432369740870968,11
2020-01-24,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.004700788941593933,0.002142913585592468,0.002557875356001465,11
2020-01-31,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,-0.0018327457847210008,-0.0080367739448,0.006204028160078998,11
2020-02-07,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0044446511617497,-0.0023902341118822,0.006834885273631901,11
2020-02-14,0.6666666666666666,0.3333333333333333,1.0,0.3333333333333333,0.008999521503228634,0.0004833186584408666,0.008516202844787768,11
2020-02-21,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,-0.0032663423794264995,7.719180755856634e-05,-0.003343534186985066,11
2020-02-28,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.0221984307618532,0.017314547604137403,-0.0395129783659906,11
2020-03-06,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,-0.0352336211686147,-0.013697049994470535,-0.021536571174144162,11
2020-03-13,0.3333333333333333,0.0,0.3333333333333333,0.0,-0.0229903394336156,0.01685770044917227,-0.03984803988278787,11
2020-03-20,0.6666666666666666,1.0,1.0,1.0,0.0384262972487478,-0.03316356178438367,0.07158985903313148,11
2020-03-27,1.0,0.6666666666666666,1.0,1.0,0.056769155231046226,-0.04337700917610193,0.10014616440714816,11
2020-04-03,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,0.053938185606518606,0.001992685770294031,0.051945499836224575,11
