,IC
2020-01-31,-0.19999999999999998
2020-02-29,-0.8166666666666667
2020-03-31,-0.39999999999999997
2020-04-30,0.09999999999999999
2020-05-31,0.06666666666666667
2020-06-30,-0.48333333333333334
2020-07-31,-0.35
2020-08-31,0.16666666666666669
2020-09-30,-0.5499999999999999
2020-10-31,0.13333333333333333
2020-11-30,0.6025157343041205
2020-12-31,0.39999999999999997
2021-01-31,-0.08333333333333334
2021-02-28,-0.15
2021-03-31,-0.6666666666666667
2021-04-30,-0.2833333333333333
2021-05-31,0.09205101496312953
2021-06-30,0.39330888211518983
2021-07-31,-0.15
2021-08-31,0.049999999999999996
2021-09-30,-0.39999999999999997
2021-10-31,0.13333333333333333
2021-11-30,0.8499999999999999
2021-12-31,0.13333333333333333
2022-01-31,-0.13333333333333333
2022-02-28,0.31666666666666665
2022-03-31,0.6833333333333333
2022-04-30,0.35
2022-05-31,-0.18333333333333335
2022-06-30,-0.26666666666666666
2022-07-31,0.5666666666666667
2022-08-31,-0.16666666666666669
2022-09-30,0.26666666666666666
2022-10-31,-0.619252282479235
2022-11-30,0.7666666666666667
2022-12-31,-0.7666666666666667
2023-01-31,0.2333333333333333
2023-02-28,-0.2333333333333333
2023-03-31,0.7
2023-04-30,0.19999999999999998
2023-05-31,0.19999999999999998
2023-06-30,-0.39999999999999997
2023-07-31,0.25
2023-08-31,0.15
2023-09-30,-0.65
2023-10-31,-0.00836827408755723
2023-11-30,0.5666666666666667
2023-12-31,0.08333333333333334
2024-01-31,-0.19999999999999998
2024-02-29,-0.2677847708018314
2024-03-31,-0.7890240316738918
2024-04-30,-0.00836827408755723
2024-05-31,0.2928895930645031
2024-06-30,0.25104822262671694
2024-07-31,-0.9166666666666666
2024-08-31,0.15
2024-09-30,-0.2333333333333333
2024-10-31,-0.09999999999999999
2024-11-30,-0.31666666666666665
