etf,Bear,Ranging,Bull
IYR,-0.3484057606006639,0.3237838970176124,-0.09001877264288344
VOX,0.12434111468562434,-0.03329201788232149,-0.12748442320316972
XLB,0.07489649355265739,-0.004580091114591563,-0.09844757809756804
XLE,0.10667020535991174,-0.04095065087777628,-0.22895547031601826
XLF,-0.09733094211850464,-0.2186037638860242,0.08857439203196141
XLI,0.0982297251978363,-0.07096629337426785,0.02885712857168066
XLK,0.1670001874589604,0.12652209508865686,0.01986452428719475
XLP,-0.31700019193439055,0.1847958216888761,-0.04334234319533068
XLU,-0.1623502092927779,0.03213397319656651,-0.0523790733970453
XLV,-0.07644820040318573,0.015418224630509085,0.058842369778999495
XLY,0.13422679859999745,0.1609153187083354,0.047692908743615384
