date,long_precision,short_precision,long_hit_rate,short_hit_rate,long_mean_ret,short_mean_ret,spread,n_etfs
2020-01-03,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,-0.006572846394738166,-0.003006052287837966,-0.0035667941069002,11
2020-01-10,0.3333333333333333,0.0,0.6666666666666666,0.0,-0.005454349836595832,0.007498954901309367,-0.0129533047379052,11
2020-01-17,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.0069314945668442,0.005707559043388433,-0.012639053610232633,11
2020-01-24,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,-0.0126569005462454,-0.002373276753229,-0.0102836237930164,11
2020-01-31,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.012389516235759533,-0.004953345245182666,-0.007436170990576867,11
2020-02-07,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,0.0130857905559087,-0.002630185336853899,0.0157159758927626,11
2020-02-14,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.005148021648063034,0.0003413863418167667,0.004806635306246267,11
2020-02-21,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,-0.008612870321572265,-0.0237228199332316,0.015109949611659334,11
2020-02-28,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.032362436301058596,0.0255957470380077,-0.0579581833390663,11
2020-03-06,0.0,0.3333333333333333,0.0,0.3333333333333333,-0.0626322361475716,-0.0012590667991274652,-0.06137316934844414,11
2020-03-13,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,-0.0229903394336156,0.015791225293716,-0.0387815647273316,11
2020-03-20,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,0.024100874699706936,0.009044789455709133,0.015056085243997803,11
2020-03-27,0.6666666666666666,0.6666666666666666,1.0,1.0,0.0435139272535211,-0.03881955364955367,0.08233348090307477,11
2020-04-03,0.0,0.0,0.3333333333333333,0.0,-0.009479156838276433,0.05923028889659857,-0.068709445734875,11
2020-04-10,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.005828773635286565,-0.015119536165473332,0.020948309800759898,11
2020-04-17,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.015754028019757133,-0.0165636944418214,0.03231772246157853,11
2020-04-24,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.018666744694266702,-0.016292046316986965,0.03495879101125367,11
2020-05-01,0.6666666666666666,0.3333333333333333,1.0,1.0,0.029461201064926463,-0.01791573842558247,0.04737693949050893,11
2020-05-08,0.0,0.3333333333333333,0.0,0.3333333333333333,-0.04073918795054073,-0.015814405175293166,-0.024924782775247567,11
2020-05-15,0.6666666666666666,0.3333333333333333,1.0,0.3333333333333333,0.029396206450272567,-0.007285085679775633,0.0366812921300482,11
2020-05-22,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,0.02394230790603723,-0.0014946507469851334,0.025436958653022364,11
2020-05-29,1.0,0.0,1.0,0.0,0.07830010985695336,0.026794238135402836,0.05150587172155052,11
2020-06-05,0.0,0.0,0.3333333333333333,0.0,-0.02489688790457133,0.012067613523336365,-0.03696450142790769,11
2020-06-12,0.0,0.3333333333333333,0.0,0.6666666666666666,-0.017035940304107034,-0.006135823012639767,-0.010900117291467268,11
2020-06-19,0.0,0.3333333333333333,0.0,0.6666666666666666,-0.013812804251818233,-0.008996688500673033,-0.004816115751145199,11
2020-06-26,0.0,0.0,0.3333333333333333,0.3333333333333333,-0.010827487760974466,0.002366762729887667,-0.013194250490862133,11
2020-07-03,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,-0.018778514614566002,-0.019625480554009932,0.0008469659394439305,11
2020-07-10,0.3333333333333333,0.6666666666666666,1.0,1.0,0.031416274172206334,-0.013199213561774335,0.04461548773398067,11
2020-07-17,0.6666666666666666,0.0,1.0,0.3333333333333333,0.011686338876701433,0.0070014535640711,0.004684885312630333,11
2020-07-24,0.0,0.6666666666666666,0.0,0.6666666666666666,-0.0183422085834378,-0.021676009447102934,0.003333800863665134,11
2020-07-31,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.002346191112861233,-0.0018657587650469669,-0.00048043234781426614,11
2020-08-07,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,-0.0032695381053872,-0.0019072922418146337,-0.0013622458635725663,11
2020-08-14,0.0,0.3333333333333333,0.0,1.0,-0.028592955960683165,-0.03284420941947507,0.004251253458791907,11
