quintile,mean,std,count
Q1,0.010985117015789627,0.06469713628824587,59
Q2,0.012686397845634328,0.06014091954756796,59
Q3,0.012796816761092443,0.06531964308755038,59
Q4,0.013589701590010923,0.05366674922991941,59
Q5,0.007913541357482972,0.06599314267045911,59
