,IC
2023-01-06,0.2832795901635142
2023-01-13,0.28428928772129636
2023-01-20,-0.26967994498529685
2023-01-27,0.24819482119774564
2023-02-03,0.46328624665692747
2023-02-10,-0.20225995873897262
2023-02-17,0.674199862463242
2023-02-24,0.24281107728301216
2023-03-03,-0.05264616439283266
2023-03-10,-0.5489913165772115
2023-03-17,0.07909115788387003
2023-03-24,0.4164857867408979
2023-03-31,0.16853174301284732
2023-04-07,0.5878509614308588
2023-04-14,-0.13483997249264842
2023-04-21,0.3726779962499649
2023-04-28,-0.5
2023-05-05,-0.5
2023-05-12,0.10000000000000002
2023-05-19,-0.3528889802913477
2023-05-26,0.30000000000000004
2023-06-02,0.4000000000000001
2023-06-09,
2023-06-16,-0.13483997249264842
2023-06-23,0.26967994498529685
2023-06-30,0.30000000000000004
2023-07-07,
2023-07-14,
2023-07-21,0.20000000000000004
2023-07-28,-0.447213595499958
2023-08-04,
2023-08-11,-0.4000000000000001
2023-08-18,0.4180039147272101
2023-08-25,-0.5
2023-09-01,0.4584559064750046
2023-09-08,0.5
2023-09-15,0.13483997249264842
2023-09-22,-0.47405972231445237
2023-09-29,0.3295293191698022
2023-10-06,0.33531053529558824
2023-10-13,-0.0057812161257860045
2023-10-20,0.4393724255597363
2023-10-27,0.010529232878566533
2023-11-03,
2023-11-10,-0.13483997249264842
2023-11-17,
2023-11-24,0.5116817192534651
2023-12-01,
2023-12-08,-0.5396407334626633
2023-12-15,0.3236694374850749
2023-12-22,0.5649818983423677
2023-12-29,0.10523705034561023
2024-01-05,0.19148542155126763
2024-01-12,-0.14506471329641485
2024-01-19,0.32374810304401624
2024-01-26,0.412065504256277
2024-02-02,-0.447213595499958
2024-02-09,0.38729833462074176
2024-02-16,-0.3726779962499649
2024-02-23,0.20225995873897262
2024-03-01,0.5
2024-03-08,-0.12673778103714672
2024-03-15,-0.10000000000000002
2024-03-22,0.29814239699997197
2024-03-29,0.10000000000000002
2024-04-05,0.23210354127426377
2024-04-12,0.5222329678670935
2024-04-19,0.4481274169454284
2024-04-26,0.24819482119774564
2024-05-03,-0.4000000000000001
2024-05-10,-0.10000000000000002
2024-05-17,-0.10000000000000002
2024-05-24,0.3655630775069655
2024-05-31,0.5
2024-06-07,-0.046973730240900874
2024-06-14,-0.3989039126792343
2024-06-21,
2024-06-28,-0.20000000000000004
2024-07-05,0.16898370804952895
2024-07-12,0.1918806447200494
2024-07-19,-0.16827506742384127
2024-07-26,-0.674199862463242
2024-08-02,0.1834021909257456
2024-08-09,0.4000000000000001
2024-08-16,-0.26111648393354675
2024-08-23,0.20000000000000004
2024-08-30,-0.4000000000000001
2024-09-06,-0.5434343158238844
2024-09-13,0.4548555598795029
2024-09-20,0.14907119849998599
2024-09-27,0.28906080628930014
2024-10-04,0.5203094513207404
2024-10-11,0.5
2024-10-18,0.20225995873897262
2024-10-25,-0.0943879807448539
2024-11-01,0.4177863742936748
2024-11-08,-0.5452497568062706
2024-11-15,-0.20225995873897262
2024-11-22,0.13483997249264842
2024-11-29,-0.5781216125786003
2024-12-06,-0.5479509179726677
2024-12-13,-0.34238119163116293
2024-12-20,0.07705141285294197
2024-12-27,-0.6162861449360935
