,IC
2020-01-31,-0.41666666666666663
2020-02-29,0.01673654817511446
2020-03-31,-0.21666666666666667
2020-04-30,0.06666666666666667
2020-05-31,0.2833333333333333
2020-06-30,-0.8166666666666667
2020-07-31,0.31666666666666665
2020-08-31,0.3
2020-09-30,0.016666666666666666
2020-10-31,-0.25
2020-11-30,-0.5166666666666667
2020-12-31,-0.09999999999999999
2021-01-31,-0.09999999999999999
2021-02-28,0.16666666666666669
2021-03-31,0.33333333333333337
2021-04-30,-0.31666666666666665
2021-05-31,-0.7833333333333333
2021-06-30,0.13333333333333333
2021-07-31,-0.7166666666666667
2021-08-31,-0.5703418756083616
2021-09-30,-0.41666666666666663
2021-10-31,-0.8954053273686235
2021-11-30,0.09244023874976197
2021-12-31,0.39999999999999997
2022-01-31,0.13333333333333333
2022-02-28,0.6102571532587293
2022-03-31,0.5499999999999999
2022-04-30,0.5333333333333333
2022-05-31,-0.03333333333333333
2022-06-30,0.39999999999999997
2022-07-31,0.11715583722580122
2022-08-31,-0.049999999999999996
2022-09-30,-0.2761530448893886
2022-10-31,0.10041928905068676
2022-11-30,-0.19999999999999998
2022-12-31,-0.2928895930645031
2023-01-31,0.33473096350228926
2023-02-28,0.016666666666666666
2023-03-31,0.2833333333333333
2023-04-30,0.07833494518006402
2023-05-31,0.1422606594884729
2023-06-30,0.7065429205297614
2023-07-31,-0.12552411131335847
2023-08-31,0.4666666666666666
2023-09-30,-0.7166666666666667
2023-10-31,-0.18333333333333335
2023-11-30,0.2833333333333333
2023-12-31,-0.3361463227264072
2024-01-31,0.6
2024-02-29,0.05085476277156078
2024-03-31,0.07531446678801507
2024-04-30,-0.13333333333333333
2024-05-31,-0.03333333333333333
2024-06-30,0.15062893357603013
2024-07-31,-0.45
2024-08-31,0.2845213189769458
2024-09-30,-0.37293492699144576
2024-10-31,-0.3133397807202561
2024-11-30,0.14471361022898727
