,0
excess_ret_1w,0.10547889217840836
ret_26w,0.0974921380453524
vol_26w,0.0733531638528413
excess_ret_13w,0.06977348576770602
ret_52w,0.059215364943985035
excess_ret_52w,0.052738695470916655
VIX_Chg,0.04522352635642246
ret_13w,0.04357694366757624
HY_OAS_Chg,0.04174076529853345
momentum_52_4,0.03188605537959374
spy_ret_4w,0.0280835359590544
Gold_ret_1w,0.025886788867929614
ret_1w,0.025806438510813014
FedFunds_Chg,0.02431673381433469
spy_ret_1w,0.022710153715699625
HML,0.017609352539633315
ret_4w,0.017347845440369863
HY_OAS,0.01729654625401058
Gold_ret_4w,0.01592633796054965
spy_ret_52w,0.014662939890664485
VIX,0.013665664308150959
CPI_YoY,0.013022510904399673
T3M,0.012420032973360457
ret_52w_rank,0.01184696247617379
vol_26w_rank,0.011551607581370962
T10,0.011543658087976475
T10_Chg,0.011490667538112155
ret_26w_rank,0.010502099593795503
FedFunds,0.010262283516355768
CMA,0.010100919226255495
YieldSpread,0.009355927159322257
SMB,0.006787679832923258
RMW,0.005976436320871863
ret_1w_rank,0.005701571475533226
Term_Spread_10_3m,0.005295573017648305
ret_4w_rank,0.004978841973793972
IndProd_YoY,0.004648963038181351
Unemp_Chg,0.003752786171601267
RF,0.00320429398149981
Mkt-RF,0.001875968720349037
Unemployment,0.0012783239907025342
ret_13w_rank,0.0006115241972271525
market_regime,0.0
