Date,IYR,SPY,VOX,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
2000-01-07,,91.5638427734375,,7.641427516937256,7.0356950759887695,11.166657447814941,18.407779693603516,18.975343704223633,13.005879402160645,5.519329071044922,20.103397369384766,11.312978744506836
2000-01-14,,92.32947540283203,,7.393527507781982,7.03178071975708,11.598480224609375,18.172786712646484,19.672971725463867,12.889162063598633,5.4157867431640625,21.65306854248047,11.156821250915527
2000-01-21,,90.73930358886719,,6.919471740722656,7.29018497467041,10.833331108093262,17.75175666809082,19.95201301574707,12.447298049926758,5.597775459289551,21.54764175415039,10.694117546081543
2000-01-28,,85.36015319824219,,6.532393455505371,6.6872358322143555,10.878785133361816,16.919492721557617,18.207963943481445,12.172174453735352,5.305963039398193,20.409120559692383,9.994287490844727
2000-02-04,,89.58100891113281,,6.519351482391357,6.59327507019043,10.946965217590332,16.988033294677734,20.138057708740234,12.122150421142578,5.44402551651001,21.34735870361328,10.387578010559082
2000-02-11,,87.12699127197266,,6.045293807983398,6.444494247436523,10.424238204956055,15.959939956665039,20.23106575012207,11.513538360595703,5.268308639526367,20.683208465576172,9.988497734069824
2000-02-18,,85.00674438476562,,6.058338642120361,6.644169807434082,9.818177223205566,16.16556167602539,19.95201301574707,11.355132102966309,5.0172882080078125,19.02812957763672,9.253969192504883
2000-02-25,,83.76013946533203,,5.862629413604736,6.217409610748291,9.606054306030273,15.87181282043457,20.56825065612793,10.779873847961426,4.706648349761963,18.448320388793945,8.987914085388184
2000-03-03,,88.65830993652344,,5.836535930633545,6.734223365783691,10.151511192321777,16.508264541625977,21.794897079467773,10.813218116760254,5.268308639526367,19.323305130004883,9.560501098632812
2000-03-10,,88.03008270263672,,5.671265125274658,6.9534759521484375,9.719694137573242,16.15576171875,22.23092269897461,10.446390151977539,5.136523723602295,18.77512550354004,9.242403030395508
2000-03-17,,92.54448699951172,,6.1381096839904785,6.9846272468566895,11.276067733764648,17.32723617553711,22.27743148803711,11.291220664978027,5.389770030975342,19.776609420776367,10.48317813873291
2000-03-24,,96.71705627441406,,6.281970500946045,7.047479152679443,12.104854583740234,18.239709854125977,23.80638313293457,11.015212059020996,5.247519016265869,21.062719345092773,10.51794719696045
2000-03-31,,94.70951843261719,,6.430191993713379,7.369607448577881,11.808316230773926,18.337833404541016,22.533227920532227,11.358123779296875,5.408740043640137,20.693750381469727,10.854059219360352
2000-04-07,,95.37869262695312,,6.382236003875732,7.255684852600098,11.679057121276855,18.573318481445312,22.533227920532227,11.675962448120117,5.611050128936768,20.75700569152832,11.172784805297852
2000-04-14,,85.65575408935547,,6.312485218048096,7.16533088684082,10.933903694152832,17.32723617553711,18.417245864868164,11.634136199951172,5.588921546936035,18.701332092285156,10.384663581848145
2000-04-21,,90.57630920410156,,6.277609825134277,7.192831516265869,11.526981353759766,18.03367042541504,19.672971725463867,12.177791595458984,5.588921546936035,19.966360092163086,10.83667278289795
2000-04-28,,91.3832015991211,,6.216580390930176,7.259612560272217,11.922369003295898,18.60272979736328,20.463607788085938,11.960329055786133,5.762788772583008,20.4512882232666,10.62805461883545
2000-05-05,,90.39910125732422,,6.356080532073975,7.558169364929199,11.23804759979248,18.563493728637695,19.876441955566406,12.4287109375,5.576279163360596,19.460350036621094,10.320919036865234
2000-05-12,,89.94648742675781,,6.4607062339782715,7.947078227996826,11.587810516357422,18.8970890045166,18.649789810180664,12.478889465332031,5.696404457092285,19.650096893310547,10.639640808105469
2000-05-19,,88.88361358642578,,6.4868597984313965,7.9981465339660645,11.770297050476074,18.641986846923828,18.068437576293945,12.838534355163574,5.633179664611816,19.460350036621094,10.43681812286377
2000-05-26,,86.91545104980469,,6.007326126098633,7.76637077331543,11.800712585449219,18.072912216186523,17.556852340698242,13.014181137084961,5.6774373054504395,18.91217041015625,9.747213363647461
2000-06-02,,93.11527252197266,,6.1381096839904785,7.762446880340576,13.108525276184082,18.80878257751465,20.03339958190918,12.403617858886719,5.772270202636719,20.26152992248535,10.407841682434082
2000-06-09,,92.3280029296875,,5.946291446685791,7.837080955505371,12.287338256835938,18.328018188476562,20.138057708740234,12.704715728759766,5.901876449584961,20.11393928527832,9.758797645568848
2000-06-16,,92.54535675048828,,5.991760730743408,8.021038055419922,11.719409942626953,18.23809814453125,20.23106575012207,12.993940353393555,5.879705429077148,20.324787139892578,9.603285789489746
2000-06-23,12.943924903869629,91.14464569091797,,5.672025680541992,7.938140869140625,11.688899993896484,17.363067626953125,20.027599334716797,12.91010856628418,5.911555290222168,19.90311050415039,9.336203575134277
2000-06-30,12.94678020477295,91.71676635742188,,5.505589485168457,7.665770530700684,11.597332954406738,17.795665740966797,20.16131019592285,13.53885269165039,5.554825782775879,19.945281982421875,9.510387420654297
2000-07-07,13.278464317321777,93.49229431152344,,5.509969234466553,7.50393009185791,12.238235473632812,17.91364097595215,20.277578353881836,13.522082328796387,5.8383002281188965,20.156108856201172,10.300024032592773
2000-07-14,13.158371925354004,95.48487854003906,,5.80342435836792,7.578930377960205,12.589216232299805,18.68053436279297,21.18448257446289,13.027473449707031,5.755488395690918,20.514541625976562,10.485812187194824
2000-07-21,13.417096138000488,93.23583221435547,,5.606324195861816,7.310509204864502,12.604469299316406,18.877178192138672,20.44035530090332,12.943648338317871,5.707709789276123,19.88201904296875,10.265182495117188
2000-07-28,13.864144325256348,89.70449829101562,,5.527486324310303,7.421038627624512,12.40609359741211,17.795665740966797,18.707923889160156,13.186753273010254,5.624897003173828,19.460350036621094,9.858753204345703
2000-08-04,13.76319694519043,92.40727233886719,,5.601945400238037,7.578930377960205,13.527676582336426,18.385581970214844,19.149761199951172,13.446637153625488,5.8383002281188965,20.419658660888672,9.713601112365723
2000-08-11,13.890097618103027,93.05826568603516,,5.886641025543213,7.894718170166016,13.603976249694824,19.42776107788086,19.300907135009766,13.11130428314209,5.76822566986084,20.303701400756836,9.94003963470459
2000-08-18,13.786273002624512,94.49847412109375,,5.829704761505127,8.178929328918457,13.443751335144043,19.329437255859375,20.16131019592285,13.027473449707031,5.714080333709717,20.324787139892578,9.719404220581055
2000-08-25,13.509390830993652,95.48487854003906,,5.693924903869629,8.242087364196777,13.314047813415527,19.762035369873047,20.574066162109375,13.161608695983887,5.707709789276123,20.44074249267578,9.701991081237793
2000-09-01,13.480554580688477,96.27399444580078,,5.623845100402832,8.261826515197754,13.672647476196289,20.037334442138672,21.044963836669922,12.809514999389648,5.930670261383057,20.324787139892578,9.44651985168457
2000-09-08,13.918941497802734,94.57738494873047,,5.457409858703613,8.305244445800781,14.1456937789917,19.78169059753418,19.71947479248047,12.717294692993164,6.217329025268555,19.692276000976562,9.783275604248047
2000-09-15,14.01700496673584,92.40206909179688,,5.181159973144531,8.610733985900879,14.02774429321289,19.165266036987305,18.888139724731445,12.72359561920166,6.275338649749756,19.671186447143555,9.819201469421387
