date,etf,ret_1m,ret_3m,ret_6m,ret_12m,momentum_12_1,vol_6m,Unemployment,FedFunds,YieldSpread,CPI_YoY,IndProd_YoY,Unemp_Chg,FedFunds_Chg,Mkt-RF,SMB,HML,RMW,CMA,RF,spy_return,target
2000-02-29,XLB,-0.1004683103650087,,,,,,4.1,5.73,-0.11,,,0.0999999999999996,0.2800000000000002,0.0245,0.1846,-0.0977,-0.1895,-0.0113,0.0043,-0.015226218563061611,0.0982866942464462
2000-03-31,XLB,0.0982866942464462,,,,,,4.0,5.85,-0.47,,,-0.0999999999999996,0.1199999999999992,0.0521,-0.1553999999999999,0.085,0.1165,-0.012,0.0046999999999999,0.09413344683461,-0.03092639008835185
2000-04-30,XLB,-0.03092639008835185,-0.03310800620691434,,,,,3.8,6.02,-0.45,,,-0.2000000000000001,0.1699999999999999,-0.0635,-0.0475,0.0645,0.0807,0.0562999999999999,0.0046,-0.032668535529577714,-0.031556274332608325
2000-05-31,XLB,-0.031556274332608325,0.03580402982548603,,,,,4.0,6.27,-0.4,,,0.2000000000000001,0.25,-0.0438999999999999,-0.0385999999999999,0.0458999999999999,0.0405,0.0147,0.005,-0.015722339388317907,-0.08978997543733758
2000-06-30,XLB,-0.08978997543733758,-0.15227263985829775,,,,,4.0,6.53,-0.35,,,0.0,0.2600000000000007,0.0467999999999999,0.0994999999999999,-0.0803999999999999,-0.0831,-0.0317,0.004,0.01728683212514115,0.013491814667178748
2000-07-31,XLB,0.013491814667178748,-0.10785443510276715,-0.1409624413096815,,,0.25285060956635785,4.0,6.54,-0.26,,,0.0,0.0099999999999997,-0.0248,-0.0093999999999999,0.0806,0.0572,0.0298,0.0048,-0.013385230819583094,0.02287158135155609
2000-08-31,XLB,0.02287158135155609,-0.05342657941860274,-0.01762254959311671,,,0.22087897100135828,4.1,6.5,-0.45,,,0.0999999999999996,-0.04,0.0703,-0.0095,-0.0137,-0.0306,0.0121,0.005,0.06534109225881579,-0.10331562633785418
2000-09-30,XLB,-0.10331562633785418,-0.06695223031911934,-0.2192248701774171,,,0.17922374441411038,3.9,6.52,-0.18,,,-0.1999999999999997,0.0199999999999995,-0.0544,0.0027,0.0724,0.027,0.0554,0.0051,-0.0572305131515658,0.09411251582575608
2000-10-31,XLB,0.09411251582575608,0.013668470839457991,-0.09418596426330916,,,0.2583762902679498,3.9,6.51,-0.17,,,0.0,-0.0099999999999997,-0.0278,-0.0258,0.0558,0.0953999999999999,0.0371,0.0056,-0.0021778300210087975,-0.025296731892529567
2000-11-30,XLB,-0.025296731892529567,-0.03449984240462767,-0.0879264218232304,,,0.25760470943619673,3.9,6.51,-0.13,,,0.0,0.0,-0.107,-0.0034999999999999,0.1224,0.1305,0.0834999999999999,0.0051,-0.07465296101112151,0.11192177710165319
2000-12-31,XLB,0.11192177710165319,0.1807375610348797,0.11378533071576036,,,0.2738392864299327,3.9,6.4,0.01,,,0.0,-0.1099999999999994,0.0118,0.0326,0.0755,0.0192,0.0482,0.005,-0.00826809509181825,-0.0013402535360750312
2001-01-31,XLB,-0.0013402535360750312,0.08528479167304859,0.09895326251250658,-0.04200917879717492,-0.040668925261099886,0.27534984554528263,4.2,5.98,0.57,0.0372120496160659,0.0039764906377679,0.3000000000000002,-0.4199999999999999,0.0325,0.0523,-0.0504999999999999,-0.052,-0.0521,0.0054,0.0476631656580786,0.012949902881630893
2001-02-28,XLB,0.012949902881630893,0.12353142644720905,0.08903158404258138,0.07140903444946467,0.05845913156783378,0.27515560202620065,4.2,5.49,0.51,0.0352941176470589,-0.0056684588652845,0.0,-0.4900000000000002,-0.1003,0.0287,0.1223,0.0911999999999999,0.0901,0.0038,-0.09538777428847389,-0.05445067359251177
2001-03-31,XLB,-0.05445067359251177,-0.042841024246955905,0.1378965367879238,-0.0813283333894933,-0.026877659796981535,0.22972350743413367,4.3,5.31,0.75,0.0298245614035086,-0.0112229572524915,0.0999999999999996,-0.1800000000000006,-0.0725,0.0233,0.0647,0.0334,0.0372,0.0042,-0.0585720961754852,0.11177579501942536
2001-04-30,XLB,0.11177579501942536,0.07027502430854449,0.15555981598159307,0.06137385171828391,-0.05040194330114145,0.24377760314065422,4.4,4.8,1.05,0.032182562902282,-0.0206021862179592,0.1000000000000005,-0.5099999999999998,0.0794,-0.0088,-0.0464,-0.0318,-0.0319,0.0039,0.08836314100216924,0.038461308216158674
2001-05-31,XLB,0.038461308216158674,0.09578642964307227,0.21931785609028132,0.1313914342670509,0.09293012605089224,0.22777481804820346,4.3,4.21,1.21,0.0356308411214953,-0.0279118105560091,-0.1000000000000005,-0.5899999999999999,0.0068,0.0355,0.0338,0.0029,0.0195,0.0032,-0.005605741617221716,-0.03878010043893998
2001-06-30,XLB,-0.03878010043893998,0.11145700279664406,0.06861597854968815,0.1824013092654485,0.2211814097043885,0.2068429944017533,4.5,3.97,1.17,0.0319396051103368,-0.0334221637189173,0.2000000000000001,-0.2399999999999997,-0.0194,0.0669,-0.0126,0.0157,-0.0167,0.0028,-0.02659784668507026,0.0017076576569905466
2001-07-31,XLB,0.0017076576569905466,0.001388865434209241,0.07166388974275373,0.1706171522552603,0.16890949459826976,0.20643567438093072,4.6,3.77,1.28,0.0272148233931674,-0.0377351171491129,0.0999999999999996,-0.2000000000000001,-0.0213,-0.0286,0.0495,0.0729,0.0289999999999999,0.003,-0.0073804745791399284,-0.004091569073426227
2001-08-31,XLB,-0.004091569073426227,-0.04116401185537566,0.05462241778769661,0.143654001830278,0.14774557090370422,0.20763965847390106,4.9,3.65,1.21,0.0272148233931674,-0.0362152776652285,0.3000000000000007,-0.1200000000000001,-0.064,0.0254,0.0286,0.0381,0.0653,0.0031,-0.05933243120360454,-0.12368753937233445
2001-09-30,XLB,-0.12368753937233445,-0.12607145078877013,-0.014614447992126078,0.12328208879579772,0.24696962816813217,0.271704240018872,5.0,3.07,1.74,0.025921658986175,-0.0455015745457048,0.0999999999999996,-0.5800000000000001,-0.0924,-0.0574,0.0152,0.0503,0.0335,0.0028,-0.08506400318094642,0.033228650137274496
2001-10-31,XLB,0.033228650137274496,-0.09455045830848618,-0.09316159287427694,0.06239822310731613,0.029169572970041635,0.20760960848684126,5.3,2.49,1.86,0.0212765957446807,-0.0444050232190538,0.2999999999999998,-0.5799999999999996,0.0248,0.0533999999999999,-0.0731,-0.0298,-0.0436,0.0022,0.016822743268825713,0.12677502111934746
2001-11-30,XLB,0.12677502111934746,0.036316131884287506,-0.004847879971088154,0.21446997611919316,0.0876949549998457,0.28563316109127324,5.5,2.09,1.94,0.0189437428243399,-0.0504491396078312,0.2000000000000001,-0.4000000000000003,0.0753,-0.0036,0.0217,-0.0349,-0.0168,0.0017,0.07797753724534551,-0.03600363820664032
