date,etf,ret_1m,ret_3m,ret_6m,ret_12m,momentum_12_1,vol_6m,Unemployment,FedFunds,YieldSpread,CPI_YoY,IndProd_YoY,Unemp_Chg,FedFunds_Chg,Mkt-RF,SMB,HML,RMW,CMA,RF,spy_return,target,market_regime
2000-02-29,XLB,-0.1004683103650087,,,,,,4.1,5.73,-0.11,,,0.0999999999999996,0.2800000000000002,0.0245,0.1846,-0.0977,-0.1895,-0.0113,0.0043,-0.0152262185630616,0.0982866942464462,-1
2000-03-31,XLB,0.0982866942464462,,,,,,4.0,5.85,-0.47,,,-0.0999999999999996,0.1199999999999992,0.0521,-0.1553999999999999,0.085,0.1165,-0.012,0.0046999999999999,0.09413344683461,-0.0309263900883518,-1
2000-04-30,XLB,-0.0309263900883518,-0.0331080062069143,,,,,3.8,6.02,-0.45,,,-0.2000000000000001,0.1699999999999999,-0.0635,-0.0475,0.0645,0.0807,0.0562999999999999,0.0046,-0.0326685355295777,-0.0315562743326083,1
2000-05-31,XLB,-0.0315562743326083,0.035804029825486,,,,,4.0,6.27,-0.4,,,0.2000000000000001,0.25,-0.0438999999999999,-0.0385999999999999,0.0458999999999999,0.0405,0.0147,0.005,-0.0157223393883179,-0.0897899754373375,1
2000-06-30,XLB,-0.0897899754373375,-0.1522726398582977,,,,,4.0,6.53,-0.35,,,0.0,0.2600000000000007,0.0467999999999999,0.0994999999999999,-0.0803999999999999,-0.0831,-0.0317,0.004,0.0172868321251411,0.0134918146671787,1
2000-07-31,XLB,0.0134918146671787,-0.1078544351027671,-0.1409624413096815,,,0.2528506095663578,4.0,6.54,-0.26,,,0.0,0.0099999999999997,-0.0248,-0.0093999999999999,0.0806,0.0572,0.0298,0.0048,-0.013385230819583,0.022871581351556,1
2000-08-31,XLB,0.022871581351556,-0.0534265794186027,-0.0176225495931167,,,0.2208789710013582,4.1,6.5,-0.45,,,0.0999999999999996,-0.04,0.0703,-0.0095,-0.0137,-0.0306,0.0121,0.005,0.0653410922588157,-0.1033156263378541,1
2000-09-30,XLB,-0.1033156263378541,-0.0669522303191193,-0.2192248701774171,,,0.1792237444141103,3.9,6.52,-0.18,,,-0.1999999999999997,0.0199999999999995,-0.0544,0.0027,0.0724,0.027,0.0554,0.0051,-0.0572305131515658,0.094112515825756,0
2000-10-31,XLB,0.094112515825756,0.0136684708394579,-0.0941859642633091,,,0.2583762902679498,3.9,6.51,-0.17,,,0.0,-0.0099999999999997,-0.0278,-0.0258,0.0558,0.0953999999999999,0.0371,0.0056,-0.0021778300210087,-0.0252967318925295,0
2000-11-30,XLB,-0.0252967318925295,-0.0344998424046276,-0.0879264218232304,,,0.2576047094361967,3.9,6.51,-0.13,,,0.0,0.0,-0.107,-0.0034999999999999,0.1224,0.1305,0.0834999999999999,0.0051,-0.0746529610111215,0.1119217771016531,0
2000-12-31,XLB,0.1119217771016531,0.1807375610348797,0.1137853307157603,,,0.2738392864299327,3.9,6.4,0.01,,,0.0,-0.1099999999999994,0.0118,0.0326,0.0755,0.0192,0.0482,0.005,-0.0082680950918182,-0.001340253536075,0
2001-01-31,XLB,-0.001340253536075,0.0852847916730485,0.0989532625125065,-0.0420091787971749,-0.0406689252610998,0.2753498455452826,4.2,5.98,0.57,0.0372120496160659,0.0039764906377679,0.3000000000000002,-0.4199999999999999,0.0325,0.0523,-0.0504999999999999,-0.052,-0.0521,0.0054,0.0476631656580786,0.0129499028816308,0
2001-02-28,XLB,0.0129499028816308,0.123531426447209,0.0890315840425813,0.0714090344494646,0.0584591315678337,0.2751556020262006,4.2,5.49,0.51,0.0352941176470589,-0.0056684588652845,0.0,-0.4900000000000002,-0.1003,0.0287,0.1223,0.0911999999999999,0.0901,0.0038,-0.0953877742884738,-0.0544506735925117,0
2001-03-31,XLB,-0.0544506735925117,-0.0428410242469559,0.1378965367879238,-0.0813283333894933,-0.0268776597969815,0.2297235074341336,4.3,5.31,0.75,0.0298245614035086,-0.0112229572524915,0.0999999999999996,-0.1800000000000006,-0.0725,0.0233,0.0647,0.0334,0.0372,0.0042,-0.0585720961754852,0.1117757950194253,0
2001-04-30,XLB,0.1117757950194253,0.0702750243085444,0.155559815981593,0.0613738517182839,-0.0504019433011414,0.2437776031406542,4.4,4.8,1.05,0.032182562902282,-0.0206021862179592,0.1000000000000005,-0.5099999999999998,0.0794,-0.0088,-0.0464,-0.0318,-0.0319,0.0039,0.0883631410021692,0.0384613082161586,0
2001-05-31,XLB,0.0384613082161586,0.0957864296430722,0.2193178560902813,0.1313914342670509,0.0929301260508922,0.2277748180482034,4.3,4.21,1.21,0.0356308411214953,-0.0279118105560091,-0.1000000000000005,-0.5899999999999999,0.0068,0.0355,0.0338,0.0029,0.0195,0.0032,-0.0056057416172217,-0.0387801004389399,0
2001-06-30,XLB,-0.0387801004389399,0.111457002796644,0.0686159785496881,0.1824013092654485,0.2211814097043885,0.2068429944017533,4.5,3.97,1.17,0.0319396051103368,-0.0334221637189173,0.2000000000000001,-0.2399999999999997,-0.0194,0.0669,-0.0126,0.0157,-0.0167,0.0028,-0.0265978466850702,0.0017076576569905,1
2001-07-31,XLB,0.0017076576569905,0.0013888654342092,0.0716638897427537,0.1706171522552603,0.1689094945982697,0.2064356743809307,4.6,3.77,1.28,0.0272148233931674,-0.0377351171491129,0.0999999999999996,-0.2000000000000001,-0.0213,-0.0286,0.0495,0.0729,0.0289999999999999,0.003,-0.0073804745791399,-0.0040915690734262,1
2001-08-31,XLB,-0.0040915690734262,-0.0411640118553756,0.0546224177876966,0.143654001830278,0.1477455709037042,0.207639658473901,4.9,3.65,1.21,0.0272148233931674,-0.0362152776652285,0.3000000000000007,-0.1200000000000001,-0.064,0.0254,0.0286,0.0381,0.0653,0.0031,-0.0593324312036045,-0.1236875393723344,1
2001-09-30,XLB,-0.1236875393723344,-0.1260714507887701,-0.014614447992126,0.1232820887957977,0.2469696281681321,0.271704240018872,5.0,3.07,1.74,0.025921658986175,-0.0455015745457048,0.0999999999999996,-0.5800000000000001,-0.0924,-0.0574,0.0152,0.0503,0.0335,0.0028,-0.0850640031809464,0.0332286501372744,0
2001-10-31,XLB,0.0332286501372744,-0.0945504583084861,-0.0931615928742769,0.0623982231073161,0.0291695729700416,0.2076096084868412,5.3,2.49,1.86,0.0212765957446807,-0.0444050232190538,0.2999999999999998,-0.5799999999999996,0.0248,0.0533999999999999,-0.0731,-0.0298,-0.0436,0.0022,0.0168227432688257,0.1267750211193474,0
2001-11-30,XLB,0.1267750211193474,0.0363161318842875,-0.0048478799710881,0.2144699761191931,0.0876949549998457,0.2856331610912732,5.5,2.09,1.94,0.0189437428243399,-0.0504491396078312,0.2000000000000001,-0.4000000000000003,0.0753,-0.0036,0.0217,-0.0349,-0.0168,0.0017,0.0779775372453455,-0.0360036382066403,0
2001-12-31,XLB,-0.0360036382066403,0.1240000330499816,-0.0020714177387884,0.0665445608108996,0.1025481990175399,0.2847730061649881,5.7,1.82,2.0,0.0160366552119131,-0.0477477623820274,0.2000000000000001,-0.2699999999999998,0.0161,0.0511,0.0083,0.0026,-0.0028,0.0015,0.0021921940400433,0.0297697264782665,1
2002-01-31,XLB,0.0297697264782665,0.1205411093909737,0.0259906510824875,0.0976545408252412,0.0678848143469746,0.2880054600509316,5.7,1.73,1.91,0.0119589977220957,-0.0368261844138321,0.0,-0.09,-0.0144,0.0128,0.0342,0.0473,0.0283,0.0014,-0.0063930639873637,0.0529198281154801,1
2002-02-28,XLB,0.0529198281154801,0.0466859163871063,0.0830020482713939,0.1376244660590905,0.0847046379436103,0.2951993496578559,5.7,1.74,1.82,0.0113636363636364,-0.0303997441497249,0.0,0.01,-0.0227999999999999,-0.0038,0.0233999999999999,0.0803,0.051,0.0013,-0.0179360189526384,0.0272963371147569,1
2002-03-31,XLB,0.0272963371147569,0.1099858917085037,0.2339859247584853,0.2193714767663592,0.1920751396516022,0.1818520969047252,5.7,1.73,1.7,0.0136286201022146,-0.0213749036944035,0.0,-0.01,0.0424,0.0415,0.0108,-0.0183,0.0066,0.0013,0.0303194779670183,-0.0440334981003018,1
2002-04-30,XLB,-0.0440334981003018,0.0361826671299352,0.1567237765209089,0.063562183646632,0.1075956817469339,0.2171371624754686,5.9,1.75,1.87,0.0164399092970521,-0.0130533290890647,0.2000000000000001,0.02,-0.0521,0.0663,0.0401,0.0458999999999999,0.0535,0.0015,-0.0554575942056481,0.0495797571914691,1
2002-05-31,XLB,0.0495797571914691,0.0328425962059242,0.0795285125930306,0.0746806326219424,0.0251008754304733,0.14754850618232,5.8,1.75,1.86,0.0124083474337279,-0.0043328851038398,-0.1000000000000005,0.0,-0.0136,-0.0306999999999999,0.0152,0.0231,0.0253,0.0014,-0.0059337415994364,-0.0219317104527517,1
2002-06-30,XLB,-0.0219317104527517,-0.0163854513615845,0.0936004403469191,0.0915290226081306,0.1134607330608824,0.1372568014042584,5.8,1.75,1.96,0.0106921778277997,0.0092091091964254,0.0,0.0,-0.0723,0.0375999999999999,0.0037,0.0392,0.0266,0.0013,-0.077037758426936,-0.1089689980182359,0
2002-07-31,XLB,-0.1089689980182359,-0.0813209512795185,-0.0451382841495833,-0.0191476330670957,0.0898213649511401,0.2188608572162082,5.8,1.73,2.28,0.0146561443066515,0.0153869755483591,0.0,-0.02,-0.0819,-0.0633,-0.0351,0.0384,-0.011,0.0015,-0.0755958876394217,-0.0053510399677685,0
2002-08-31,XLB,-0.0053510399677685,-0.1362517484387562,-0.1034091522328319,-0.020407103961438,-0.0150560639936695,0.1943841058417867,5.7,1.74,2.0,0.0174746335963922,0.0154248360151254,-0.0999999999999996,0.01,0.005,-0.0128,0.0301,0.0137,-0.0139999999999999,0.0014,0.0068008616686445,-0.1349629907055732,0
2002-09-30,XLB,-0.1349629907055732,-0.2492830286915777,-0.2656684800531622,-0.0316825552946768,0.1032804354108963,0.2361323154702838,5.7,1.75,1.91,0.0151600224592927,0.0214606444052574,0.0,0.01,-0.1033999999999999,0.0305,0.0126,0.0329,-0.0229,0.0014,-0.1088470354663213,0.0634134916141728,0
2002-10-31,XLB,0.0634134916141728,-0.0769005390591689,-0.1582214903386875,-0.0014977138177785,-0.0649112054319513,0.2810237065406867,5.7,1.75,2.25,0.0202702702702701,0.0221354225514431,0.0,0.0,0.0784,-0.0429,-0.0375999999999999,-0.0316,0.0073,0.0014,0.0871357778099344,0.1203206688213156,0
2002-11-30,XLB,0.1203206688213156,0.0487711697299152,-0.0874805787088409,-0.0079520661158103,-0.128272734937126,0.3387804383863324,5.9,1.34,2.14,0.0225352112676056,0.0341150392179152,0.2000000000000001,-0.4099999999999999,0.0596,0.0294,-0.0116,-0.0925,0.0516,0.0012,0.0616816875553327,-0.0529831143160628,0
2002-12-31,XLB,-0.0529831143160628,0.1307510461194256,-0.118531982572152,-0.0249315422252328,0.0280515720908299,0.3432146542426832,6.0,1.24,2.22,0.0248027057497182,0.0288039448485426,0.0999999999999996,-0.1,-0.0576,0.0055,0.0210999999999999,0.0632,-0.0179,0.0011,-0.0611839037893506,-0.0426950449481176,0
2003-01-31,XLB,-0.0426950449481176,0.0246425095571352,-0.0522580295020337,-0.097396313651617,-0.0547012687034994,0.3133697001731354,5.8,1.24,2.28,0.0275745638716939,0.030711406545139,-0.2000000000000001,0.0,-0.0256999999999999,0.0070999999999999,-0.0079,-0.0093,0.0069,0.001,-0.0198011414164525,-0.0265255293379348,0
2003-02-28,XLB,-0.0265255293379348,-0.1222036886021152,-0.0734325188722,-0.176841671105032,-0.1503161417670971,0.3142545527139088,5.9,1.26,2.18,0.0314606741573033,0.0318171241124256,0.1000000000000005,0.02,-0.0187999999999999,-0.0087,-0.0136,0.0079,-0.0068,0.0009,-0.0134788243853741,0.0016347167346022,1
2003-03-31,XLB,0.0016347167346022,-0.0675858575514501,0.0631651885679754,-0.2025032914851867,-0.204138008219789,0.2358120303685067,5.9,1.25,2.32,0.0302521008403362,0.0217094358327931,0.0,-0.01,0.0109,0.0077,-0.0210999999999999,0.0168,-0.0081,0.001,-0.0018847294992615,0.0952574561894041,1
